time,tmax,tmin,prcp,tavg,Year,Month
1951-01-01,-0.054035552851182195,-19.055230789290682,0.0,-9.554633171070932,1951,1
1951-01-02,-8.802916376912378,-23.577375260778858,0.0,-16.189857875521557,1951,1
1951-01-03,-11.496696801112657,-22.341229137691236,0.0014668810848400557,-16.919071627260085,1951,1
1951-01-04,-9.710720184283728,-18.5845032162726,3.027001477746871,-14.147752955493742,1951,1
1951-01-05,-13.132127955493742,-25.402642559109875,0.07928763908205841,-19.267167941585534,1951,1
1951-01-06,-18.423091968011125,-33.63730006954103,0.0,-26.030359005563284,1951,1
1951-01-07,-17.21542506954103,-30.520003911682892,0.0,-23.867926373435328,1951,1
1951-01-08,-11.824419767037552,-22.99348052851182,0.0,-17.409118567454797,1951,1
1951-01-09,-3.045027816411683,-14.727355702364395,0.0,-8.886202625173853,1951,1
1951-01-10,-2.6485678894297635,-14.00574800069541,0.0,-8.327505650208623,1951,1
1951-01-11,-5.440727138386648,-20.090794506258693,0.0,-12.765548939499304,1951,1
1951-01-12,-4.695573278859527,-20.941085709318497,0.0,-12.818595705841446,1951,1
1951-01-13,-4.664757910292073,-13.644297635605007,0.9471705493741307,-9.154468011126564,1951,1
1951-01-14,-4.065259909596662,-9.48093054589708,0.013473574408901252,-6.773035465924895,1951,1
1951-01-15,-4.696844575799722,-11.570029989568846,0.6606180458970793,-8.133366655076495,1951,1
1951-01-16,-1.7635713664812238,-14.204374565368568,0.0,-7.98401642906815,1951,1
1951-01-17,0.3966337795549374,-12.990970531988873,0.0,-6.2973530945758,1951,1
1951-01-18,-0.9094336752433936,-13.0009561891516,0.0,-6.955417680806676,1951,1
1951-01-19,-7.052851182197497,-18.202375260778858,3.3013843011126567,-12.62766211752434,1951,1
1951-01-20,-12.773339707927677,-25.358049374130736,0.010822322670375521,-19.06558588317107,1951,1
1951-01-21,-16.989503650904034,-33.65831449930459,0.0,-25.323778685674547,1951,1
1951-01-22,-9.057784248956885,-28.99685978789986,0.39069019471488176,-19.027186196105703,1951,1
1951-01-23,-7.258257997218359,-16.539801373435328,0.983668723922114,-11.899198105006954,1951,1
1951-01-24,-12.088121522948539,-19.435055198191932,0.014962187065368568,-15.761474269819193,1951,1
1951-01-25,-14.156945410292073,-24.145482006258693,0.0,-19.151306067454797,1951,1
1951-01-26,-16.80639342837274,-22.071735917941584,0.25634561891515995,-19.43902121001391,1951,1
1951-01-27,-19.909411943671767,-27.447485657162726,1.2428285813630042,-23.678296679415855,1951,1
1951-01-28,-23.576755910987483,-35.04956971488178,0.0,-29.31301069193324,1951,1
1951-01-29,-28.079331102225314,-39.35890777121001,0.0,-33.719032510431155,1951,1
1951-01-30,-24.055926199582753,-39.11461230876217,0.0,-31.585448539638385,1951,1
1951-01-31,-20.06674852225313,-31.9597422635605,0.0,-26.013071540333797,1951,1
1951-02-01,-21.188706102225314,-36.79460405076495,0.0,-28.991633344923503,1951,2
1951-02-02,-14.103127173157162,-33.95975312934632,0.0,-24.031380389429764,1951,2
1951-02-03,-6.641874565368568,-22.92885083449235,0.3722618219749652,-14.785313803894297,1951,2
1951-02-04,-5.555111265646731,-18.017863351877608,0.001999304589707928,-11.786541637691238,1951,2
1951-02-05,-9.041539899165508,-20.766602920723226,1.6795136474269818,-14.90374000347705,1951,2
1951-02-06,-6.790116481223922,-21.211611178720446,2.676427764255911,-14.00116263908206,1951,2
1951-02-07,-19.18603311891516,-28.928242350486787,0.0,-24.057154033379692,1951,2
1951-02-08,-19.804644036856747,-35.11061369958276,0.0,-27.457753824756605,1951,2
1951-02-09,-17.93240394645341,-32.724639255910986,0.002868567454798331,-25.3286030945758,1951,2
1951-02-10,-4.7542593880389425,-19.12398948191933,0.3192150556328234,-11.939216794158554,1951,2
1951-02-11,-4.525730180806676,-11.909596662030598,2.4770188630041723,-8.21743523991655,1951,2
1951-02-12,-8.969651860222532,-22.435478963838666,0.32383301460361613,-15.702864221140473,1951,2
1951-02-13,-16.236906728094574,-32.7253672635605,0.0,-24.48105006954103,1951,2
1951-02-14,-10.447300938803894,-32.23518993393602,0.0,-21.34124000347705,1951,2
1951-02-15,-3.493567454798331,-17.976334318497912,0.0,-10.735059544506258,1951,2
1951-02-16,-0.12418506606397775,-11.462610831015299,0.0,-5.793365351182198,1951,2
1951-02-17,1.2907249652294854,-3.865774947844228,0.0,-1.2876064847009736,1951,2
1951-02-18,2.1066259561891516,-0.3032532162726008,0.0,0.9014799200278164,1951,2
1951-02-19,1.6844358484005564,-1.3691324756606398,0.0,0.1576190890125174,1951,2
1951-02-20,0.42351573365785816,-5.691161769819193,0.0,-2.6338230180806677,1951,2
1951-02-21,-0.22948539638386647,-13.138690890125174,0.0,-6.684066411682893,1951,2
1951-02-22,0.3533770862308762,-10.093815194714882,0.0,-4.870382041029207,1951,2
1951-02-23,0.3477703407510431,-8.681056589012517,0.12645601529902642,-4.166561630737135,1951,2
1951-02-24,3.2892146210013906,-2.0850356397774688,6.22303111961057,0.6020949235048678,1951,2
1951-02-25,3.819867002781641,0.18458796940194716,7.619404120305981,2.0019884388038944,1951,2
1951-02-26,2.7505650208623087,-0.055382910292072325,5.6785139951321275,1.3475747566063978,1951,2
1951-02-27,0.2801308240611961,-9.654022513908206,0.5807871175243393,-4.687011039638387,1951,2
1951-02-28,-6.373218011126565,-12.938901686369958,5.13122609527121,-9.656054415855355,1951,2
1951-03-01,-7.690738004172462,-13.098683066759389,8.013962534770515,-10.394645340751044,1951,3
1951-03-02,-6.837328320584144,-22.693889082058416,0.0024339360222531293,-14.765396818497914,1951,3
1951-03-03,-5.2296701147426985,-14.838740872739917,10.633029815716272,-10.034107701668985,1951,3
1951-03-04,-6.854083362308762,-21.86027686022253,0.01025730180806676,-14.357201842837274,1951,3
1951-03-05,0.22245523296244785,-20.429339794853963,0.0010648470097357442,-10.103605267732963,1951,3
1951-03-06,2.5722900730180807,-18.428709579276774,0.0,-7.927851182197497,1951,3
1951-03-07,-11.523024600139083,-24.47168376216968,0.7672005389429764,-17.99757692976356,1951,3
1951-03-08,-13.50269471488178,-22.999717489568845,1.3337752086230876,-18.25129302851182,1951,3
1951-03-09,-9.620305980528512,-26.92121218706537,0.0,-18.27043854311544,1951,3
1951-03-10,-4.503314064673157,-13.744328059805285,0.23609179415855355,-9.12401121349096,1951,3
1951-03-11,-2.2063738699582753,-7.861787204450626,8.372826842837274,-5.033846922809458,1951,3
1951-03-12,-2.6204037726008345,-7.95300547635605,5.076451668984701,-5.286650295549374,1951,3
1951-03-13,-2.3507367002781643,-8.923711317802503,0.05574148122392211,-5.637386995827538,1951,3
1951-03-14,0.1562065368567455,-9.303231484700973,0.0,-4.573235396383867,1951,3
1951-03-15,-0.5491785465924895,-15.336209144645341,0.0,-7.94273730876217,1951,3
1951-03-16,-0.0032380041724617524,-18.835144297635605,0.0,-9.419147687760779,1951,3
1951-03-17,1.2660270340751043,-10.778924721835883,0.08472053198887343,-4.756421679415856,1951,3
1951-03-18,-0.8332536509040334,-8.62996566411683,10.032434370653686,-4.731365177329624,1951,3
1951-03-19,-3.919115090403338,-12.994893080667595,2.8835296418636998,-8.457036682892907,1951,3
1951-03-20,-9.145253824756606,-18.55519819193324,0.0,-13.850193410987483,1951,3
1951-03-21,-9.667463490959666,-22.051797200973574,0.0,-15.859635778859527,1951,3
1951-03-22,-1.7188586578581364,-16.115557632127956,0.0,-8.917289638386649,1951,3
1951-03-23,-1.5956406467315716,-12.512615177329625,0.0,-7.054079015994437,1951,3
1951-03-24,-2.196953233657858,-16.522046679415855,0.0,-9.35976616828929,1951,3
1951-03-25,2.2600073887343535,-9.430632823365785,0.0017059283727399166,-3.5853507475660638,1951,3
1951-03-26,4.160096488178025,-6.3941781119610575,0.0,-1.1170571105702365,1951,3
1951-03-27,4.578374913073714,-4.364373261474269,0.3760105180806676,0.10685413769123783,1951,3
1951-03-28,6.138201929763561,-1.3333405771905424,0.0725182545201669,2.4023274513212796,1951,3
1951-03-29,4.9477138386648125,-3.0136256954102922,0.0,0.9671201321279554,1951,3
1951-03-30,2.1175134735744088,-4.343891255215577,1.346629433240612,-1.1132432197496522,1951,3
1951-03-31,0.5133431849791377,-2.801547287899861,3.10461578581363,-1.143971662030598,1951,3
1951-04-01,1.6811543810848402,-3.8282553894297635,0.01321279554937413,-1.0737895514603617,1951,4
1951-04-02,3.7297787726008345,-5.732755997913769,0.0,-1.0015755389429764,1951,4
1951-04-03,5.9420201668984705,-6.992328755215577,0.0,-0.5254368045897079,1951,4
1951-04-04,7.399317628650904,-6.594358484005563,0.0,0.40215359874826145,1951,4
1951-04-05,8.543202364394993,-6.144601877607789,0.0,1.1994414986091795,1951,4
