time,tmax,tmin,prcp,tavg,Year,Month
1953-12-16,-16.06048583984375,-27.80059814453125,0.01544189453125,-21.93072509765625,1953,12
1953-12-17,-14.7806396484375,-29.84197998046875,0.0,-22.31134033203125,1953,12
1953-12-18,-5.423583984375,-21.62823486328125,0.0,-13.52569580078125,1953,12
1953-12-19,0.55914306640625,-12.4305419921875,0.0,-5.93572998046875,1953,12
1953-12-20,1.33819580078125,-8.533203125,0.0,-3.59771728515625,1953,12
1953-12-21,-0.43365478515625,-13.15887451171875,0.32464599609375,-6.79681396484375,1953,12
1953-12-22,-12.20831298828125,-21.46875,0.0,-16.83880615234375,1953,12
1953-12-23,-10.0296630859375,-26.22442626953125,0.0,-18.12689208984375,1953,12
1953-12-24,0.77630615234375,-10.03143310546875,0.0,-4.62725830078125,1953,12
1953-12-25,0.741943359375,-6.1846923828125,0.0,-2.720703125,1953,12
1953-12-26,-0.11212158203125,-6.19390869140625,0.0,-3.15277099609375,1953,12
1953-12-27,-1.02447509765625,-10.7335205078125,0.0,-5.879150390625,1953,12
1953-12-28,-1.19207763671875,-17.2421875,0.0,-9.217041015625,1953,12
1953-12-29,-1.53790283203125,-22.81475830078125,2.67279052734375,-12.17633056640625,1953,12
1953-12-30,-10.43389892578125,-27.78857421875,0.605224609375,-19.111083984375,1953,12
1953-12-31,-1.1759033203125,-18.0758056640625,0.1348876953125,-9.62579345703125,1953,12
1954-01-01,1.10101318359375,-11.29742431640625,0.0,-5.097900390625,1954,1
1954-01-02,-2.5738525390625,-11.33270263671875,0.43365478515625,-6.95355224609375,1954,1
1954-01-03,-4.96893310546875,-16.4935302734375,0.0,-10.73175048828125,1954,1
1954-01-04,-0.89666748046875,-9.01141357421875,0.0,-4.95416259765625,1954,1
1954-01-05,-1.74871826171875,-14.96685791015625,0.0,-8.3577880859375,1954,1
1954-01-06,-7.50921630859375,-15.8052978515625,0.0,-11.656982421875,1954,1
1954-01-07,-5.00579833984375,-15.7252197265625,0.0,-10.36566162109375,1954,1
1954-01-08,-1.82745361328125,-8.0986328125,0.0,-4.963134765625,1954,1
1954-01-09,-5.38336181640625,-22.81488037109375,0.09808349609375,-14.09930419921875,1954,1
1954-01-10,-14.5216064453125,-27.83331298828125,0.0,-21.1771240234375,1954,1
1954-01-11,-14.00360107421875,-25.4698486328125,1.5894775390625,-19.736083984375,1954,1
1954-01-12,-19.656982421875,-33.08758544921875,0.0,-26.3721923828125,1954,1
1954-01-13,-11.31573486328125,-23.34747314453125,0.0,-17.33123779296875,1954,1
1954-01-14,-8.072021484375,-17.45831298828125,2.50872802734375,-12.76568603515625,1954,1
1954-01-15,-11.2581787109375,-22.5135498046875,0.0,-16.88555908203125,1954,1
1954-01-16,-22.1114501953125,-31.9302978515625,1.13031005859375,-27.0208740234375,1954,1
1954-01-17,-23.33319091796875,-35.960693359375,0.0,-29.64715576171875,1954,1
1954-01-18,-13.5335693359375,-24.25787353515625,0.0,-18.8958740234375,1954,1
1954-01-19,-12.5284423828125,-23.41278076171875,0.0,-17.970947265625,1954,1
1954-01-20,-16.89056396484375,-27.3221435546875,2.32086181640625,-22.106689453125,1954,1
1954-01-21,-24.49212646484375,-36.583251953125,0.0,-30.53778076171875,1954,1
1954-01-22,-12.95458984375,-30.08026123046875,0.0,-21.51727294921875,1954,1
1954-01-23,-2.7149658203125,-13.12420654296875,0.0,-7.91937255859375,1954,1
1954-01-24,-4.95819091796875,-19.725341796875,0.0,-12.34088134765625,1954,1
1954-01-25,-12.05267333984375,-19.30157470703125,0.21728515625,-15.67706298828125,1954,1
1954-01-26,-12.2794189453125,-19.458984375,1.50390625,-15.86865234375,1954,1
1954-01-27,-8.1300048828125,-16.26129150390625,0.92010498046875,-12.19525146484375,1954,1
1954-01-28,-7.784912109375,-20.34417724609375,0.0234375,-14.0643310546875,1954,1
1954-01-29,-5.6241455078125,-17.8265380859375,0.0,-11.72454833984375,1954,1
1954-01-30,-10.56695556640625,-24.76190185546875,0.0,-17.6640625,1954,1
1954-01-31,-6.67962646484375,-23.43804931640625,0.0,-15.05908203125,1954,1
1954-02-01,3.646240234375,-6.77764892578125,0.0,-1.56494140625,1954,2
1954-02-02,3.6531982421875,-4.405517578125,0.0,-0.375732421875,1954,2
1954-02-03,1.896484375,-11.63336181640625,0.0,-4.868408203125,1954,2
1954-02-04,5.47564697265625,-5.278564453125,0.0,0.0980224609375,1954,2
1954-02-05,2.2586669921875,-4.89453125,0.0,-1.317626953125,1954,2
1954-02-06,-1.61236572265625,-13.084228515625,0.0,-7.348876953125,1954,2
1954-02-07,1.42449951171875,-12.79925537109375,0.0,-5.6871337890625,1954,2
1954-02-08,5.4444580078125,-3.78076171875,0.0,0.83154296875,1954,2
1954-02-09,6.6199951171875,-8.811279296875,0.0,-1.09552001953125,1954,2
1954-02-10,1.60400390625,-9.3663330078125,0.0,-3.88031005859375,1954,2
1954-02-11,-9.03216552734375,-19.5096435546875,0.0,-14.27105712890625,1954,2
1954-02-12,-9.34814453125,-24.1156005859375,0.0,-16.73223876953125,1954,2
1954-02-13,1.7247314453125,-10.9505615234375,0.0,-4.61273193359375,1954,2
1954-02-14,7.00830078125,-6.07501220703125,0.0,0.466552734375,1954,2
1954-02-15,5.54150390625,-3.4139404296875,0.0,1.06317138671875,1954,2
1954-02-16,6.36541748046875,-11.37005615234375,0.0,-2.501953125,1954,2
1954-02-17,7.14068603515625,-2.9443359375,0.0,2.0980224609375,1954,2
1954-02-18,10.22393798828125,-1.0087890625,0.0,4.6072998046875,1954,2
1954-02-19,9.28033447265625,0.69915771484375,0.0,4.9896240234375,1954,2
1954-02-20,4.13671875,-0.63409423828125,9.54986572265625,1.75103759765625,1954,2
1954-02-21,0.9564208984375,-5.402099609375,2.23638916015625,-2.22265625,1954,2
1954-02-22,-1.34234619140625,-9.3336181640625,0.21514892578125,-5.33795166015625,1954,2
1954-02-23,0.83905029296875,-4.45623779296875,2.3052978515625,-1.80865478515625,1954,2
1954-02-24,1.94781494140625,-4.50006103515625,0.0,-1.2757568359375,1954,2
1954-02-25,2.43341064453125,-10.464111328125,0.0,-4.01495361328125,1954,2
1954-02-26,5.00177001953125,-3.5228271484375,0.37811279296875,0.73907470703125,1954,2
1954-02-27,4.13397216796875,-3.21124267578125,0.0,0.46209716796875,1954,2
1954-02-28,1.40924072265625,-6.6771240234375,0.0,-2.6341552734375,1954,2
1954-03-01,1.6776123046875,-7.87799072265625,0.0,-3.1007080078125,1954,3
1954-03-02,-0.93316650390625,-11.5853271484375,0.0,-6.25897216796875,1954,3
1954-03-03,-8.32550048828125,-19.06182861328125,0.0,-13.69366455078125,1954,3
1954-03-04,-7.95819091796875,-19.32373046875,0.0,-13.64056396484375,1954,3
1954-03-05,-4.42889404296875,-19.68939208984375,0.0,-12.05914306640625,1954,3
1954-03-06,7.0040283203125,-10.93475341796875,0.0,-1.9656982421875,1954,3
1954-03-07,4.74169921875,-7.40460205078125,0.0,-1.3309326171875,1954,3
1954-03-08,2.3892822265625,-11.60357666015625,0.0,-4.60687255859375,1954,3
1954-03-09,2.30682373046875,-5.4876708984375,0.0,-1.590576171875,1954,3
1954-03-10,2.224609375,-9.00238037109375,0.0,-3.38873291015625,1954,3
