time,tmax,tmin,prcp,tavg,Year,Month
1958-03-05,1.8917410714285714,-7.896444515306122,0.01251594387755102,-3.0028698979591835,1958,3
1958-03-06,1.3270886479591837,-10.267697704081632,0.009646045918367346,-4.470264668367347,1958,3
1958-03-07,1.9196428571428572,-8.528220663265307,0.0,-3.3050063775510203,1958,3
1958-03-08,2.1636639030612246,-3.961814413265306,0.0,-0.8987563775510204,1958,3
1958-03-09,1.7369260204081634,-5.461814413265306,0.0,-1.8629623724489797,1958,3
1958-03-10,1.8185586734693877,-10.922273596938776,0.0,-4.551419005102041,1958,3
1958-03-11,4.183832908163265,-9.350207270408163,0.0,-2.582908163265306,1958,3
1958-03-12,3.436543367346939,-9.018335459183673,0.0,-2.7908163265306123,1958,3
1958-03-13,2.1877391581632653,-8.067841198979592,0.0,-2.940130739795918,1958,3
1958-03-14,-0.8459024234693877,-6.475366709183674,0.0,-3.6606345663265305,1958,3
1958-03-15,-2.1668526785714284,-7.611367984693878,0.036033163265306124,-4.888950892857143,1958,3
1958-03-16,-1.13671875,-9.279257015306122,0.0,-5.2084661989795915,1958,3
1958-03-17,-0.12157206632653061,-6.052375637755102,0.0,-3.087292729591837,1958,3
1958-03-18,0.506218112244898,-5.841198979591836,0.01522640306122449,-2.6676498724489797,1958,3
1958-03-19,0.5538105867346939,-7.308992346938775,0.0,-3.377232142857143,1958,3
1958-03-20,0.12444196428571429,-8.098214285714286,0.0,-3.9876434948979593,1958,3
1958-03-21,2.653300382653061,-11.290656887755102,0.0,-4.3188775510204085,1958,3
1958-03-22,6.36702806122449,-8.340401785714286,0.0,-0.9866071428571429,1958,3
1958-03-23,8.088568239795919,-7.0864158163265305,0.0,0.5013552295918368,1958,3
1958-03-24,8.228794642857142,-5.531170280612245,0.0,1.3485331632653061,1958,3
1958-03-25,8.120695153061224,-8.264588647959183,0.0,-0.07198660714285714,1958,3
1958-03-26,8.41454081632653,-6.408960459183674,0.0,1.0025510204081634,1958,3
1958-03-27,8.386479591836734,-5.967235331632653,0.0,1.209422831632653,1958,3
1958-03-28,9.530293367346939,-4.963568239795919,0.0,2.282924107142857,1958,3
1958-03-29,10.72281568877551,-4.863201530612245,0.0,2.9300063775510203,1958,3
1958-03-30,11.8125,-3.3064413265306123,0.0,4.253109056122449,1958,3
1958-03-31,13.293925382653061,1.2650669642857142,0.0,7.279177295918367,1958,3
1958-04-01,11.821588010204081,2.9225924744897958,0.07047193877551021,7.372130102040816,1958,4
1958-04-02,9.274713010204081,3.6792091836734695,4.986049107142857,6.477519132653061,1958,4
1958-04-03,10.844626913265307,3.55078125,0.0,7.197704081632653,1958,4
1958-04-04,10.692362882653061,2.399314413265306,0.0,6.544961734693878,1958,4
1958-04-05,7.174585459183674,1.1045121173469388,5.097018494897959,4.139349489795919,1958,4
1958-04-06,5.521205357142857,-0.8073979591836735,27.87045599489796,2.356823979591837,1958,4
1958-04-07,9.963807397959183,-5.7006536989795915,0.0,2.131457270408163,1958,4
1958-04-08,13.267219387755102,-2.604033801020408,0.0,5.33203125,1958,4
1958-04-09,12.99170918367347,-0.5369100765306123,0.0,6.227439413265306,1958,4
1958-04-10,13.022401147959183,-4.10188137755102,0.0,4.460379464285714,1958,4
1958-04-11,14.90967793367347,-2.650669642857143,0.0,6.130022321428571,1958,4
1958-04-12,14.287069515306122,-1.0559630102040816,0.0,6.616390306122449,1958,4
1958-04-13,13.463169642857142,-0.9767219387755102,0.0,6.243144132653061,1958,4
1958-04-14,19.035395408163264,3.2780612244897958,0.0,11.156808035714286,1958,4
1958-04-15,20.1585618622449,6.487005739795919,0.0,13.323022959183673,1958,4
1958-04-16,23.849728954081634,4.424107142857143,0.0,14.136479591836734,1958,4
1958-04-17,24.865991709183675,10.723692602040817,0.0,17.794882015306122,1958,4
1958-04-18,20.847895408163264,1.0636160714285714,0.0,10.955038265306122,1958,4
1958-04-19,20.8844068877551,4.86360012755102,0.98046875,12.87436224489796,1958,4
1958-04-20,19.08529974489796,2.658482142857143,0.0,10.871332908163266,1958,4
1958-04-21,16.266501913265305,5.0942283163265305,7.85530931122449,10.681361607142858,1958,4
1958-04-22,10.000717474489797,0.001913265306122449,8.4296875,5.001275510204081,1958,4
1958-04-23,9.495057397959183,-0.625,0.0,4.435427295918367,1958,4
1958-04-24,9.818718112244898,1.0667251275510203,0.0,5.443160076530612,1958,4
1958-04-25,9.633370535714286,-3.64859693877551,0.0,2.9926658163265305,1958,4
1958-04-26,10.064652423469388,-0.5302933673469388,0.0,4.767458545918367,1958,4
1958-04-27,11.945073341836734,-1.6284279336734695,0.0,5.159040178571429,1958,4
1958-04-28,12.60483099489796,-0.08482142857142858,8.892936862244898,6.260443239795919,1958,4
1958-04-29,8.470982142857142,-7.920041454081633,0.04711415816326531,0.27519132653061223,1958,4
1958-04-30,14.474728954081632,0.13408801020408162,0.018016581632653062,7.30452806122449,1958,4
1958-05-01,15.244499362244898,-2.224888392857143,0.0,6.510522959183674,1958,5
1958-05-02,12.016820790816327,1.7012117346938775,0.0,6.858338647959184,1958,5
1958-05-03,18.012595663265305,5.604671556122449,5.956074617346939,11.808832908163266,1958,5
1958-05-04,14.889429209183673,-0.3557876275510204,0.0,7.266422193877551,1958,5
1958-05-05,13.85562818877551,4.194196428571429,0.0,9.024154974489797,1958,5
1958-05-06,15.149473852040817,-1.3354591836734695,0.0,6.9076849489795915,1958,5
1958-05-07,19.96388711734694,5.548549107142857,0.0,12.756935586734693,1958,5
